longitude,latitude
113.014296,40.154588
113.014167,40.154444
113.016389,40.128889
113.014444,40.138056
113.009067,40.130947
113.021944,40.129444
113.012778,40.133889
113.020833,40.135
113.012222,40.1275
113.0225,40.124444
113.008972,40.090023
113.0275,40.123889
113.02744,40.141637
113.026486,40.140739
113.011667,40.140278
113.014722,40.138056
113.020833,40.130556
113.024167,40.126667
113.001667,40.130278
112.986389,40.147778
113.000556,40.131667
112.994167,40.133333
112.992778,40.146667
113.018889,40.126944
113.018611,40.123889
113.012222,40.161944
113.015556,40.123611
113.019444,40.121389
113.015278,40.161944
112.996944,40.153889
112.986389,40.164722
112.9925,40.138611
113.011245,40.089065
113.01792,40.091724
112.996944,40.135556
112.985556,40.145278
112.988333,40.484167
112.991111,40.149444
112.994722,40.146944
112.989167,40.143056
112.995833,40.140556
112.998611,40.144167
113.029444,40.101111
112.981111,40.151111
112.981389,40.148333
112.986667,40.148889
112.979722,40.148611
112.992778,40.148889
112.995833,40.149444
113.024444,40.0825
113.036944,40.109722
113.029444,40.104444
112.989444,40.153889
113.033611,40.109167
113.018056,40.098611
113.032778,40.111111
113.006387,40.101084
112.991953,40.091953
113.01417,40.088981
113.027914,40.094016
113.022016,40.090417
113.017318,40.089396
113.027373,40.088386
112.996667,40.100833
113.014243,40.088423
113.009838,40.088945
113.002778,40.081389
113.010278,40.081389
113.018399,40.084587
112.993333,40.1
112.981111,40.065
113.016298,40.094105
113.388333,40.090455
113.016445,40.089852
113.027745,40.090183
113.022297,40.086343
113.026849,40.085398
113,40.099167
113.0093,40.085438
113.0148,40.088632
113.000278,40.081389
112.998333,40.080833
112.996944,40.097222
113.006911,40.079572
113.001111,40.101111
113.016817,40.090991
113.016387,40.094105
112.992222,36.351389
113.033889,36.303333
113.027778,36.285
113.007778,36.314167
113.014444,36.318611
113.001111,36.3025
113.009444,36.287778
113.011944,36.285833
113.011944,36.290556
112.998333,36.313056
113.008056,36.311667
113.040833,36.378056
113.019444,36.295833
113.036667,36.384722
113.045556,36.341667
113.045833,36.344167
113.035278,36.372222
113.030833,36.317222
113.018889,36.288889
112.996667,36.336667
113.024167,36.324722
113.024167,36.298611
113.036111,36.314167
113.035,36.356111
113.005556,36.381944
112.993611,36.383889
113.013611,36.379444
113.048611,36.377222
113.023333,36.286111
113.03,36.323611
113.041667,36.331667
113.044167,36.340278
113.038889,36.340278
113.039722,36.38
112.998056,36.33
112.992778,36.318333
113.025278,36.336944
113.000833,36.343056
113.021944,36.350833
113.016667,36.357778
113.026111,36.294722
113.005278,36.406667
113.036667,36.337778
113.036111,36.324167
113.043056,36.330833
113.016111,36.324167
112.996111,36.2825
113.005833,36.288056
113.013611,36.364167
113.013889,36.356111
113.008333,36.376389
113.014722,36.292778
113.009444,36.378889
113.003333,36.286944
112.998889,36.406389
113.0225,36.3875
113.018056,36.388889
113.014167,36.389444
112.993889,36.270833
112.999444,36.331389
112.999444,36.339722
113.0125,36.307222
113.027778,36.305833
113.020556,36.325
113.025833,36.304444
113.031389,36.310556
113.038889,36.304722
113.025556,36.405833
113.021389,36.346111
113.004444,36.398056
113.0275,36.349722
113.026389,36.385556
113.031667,36.385833
113.029167,36.385556
113.010556,36.333056
113.000278,36.350833
113.005833,36.317222
0,0
113.006667,36.388333
112.998889,36.375833
0,0
113.020278,36.358611
113.024444,36.361389
113.0175,36.405833
113.038889,36.389444
113.024167,36.301667
113.014444,36.295556
113.0175,36.292778
113.0375,36.3875
113.035278,36.386389
113.033056,36.386111
112.9975,36.401667
112.993333,36.400556
113.009722,36.408889
113.017222,36.368056
113.005278,36.311111
113.013889,36.330833
113.0125,36.331111
112.991389,36.408889
112.995833,36.404722
113.016389,36.337222
113.014722,36.333056
113.012778,36.339722
113.006389,36.341389
113.007778,36.374722
112.995,36.348056
112.998056,36.359722
113.013333,36.311111
113.007778,36.344167
113.0025,36.408333
113.009722,36.4
112.991389,36.396667
112.991389,36.3425
112.990278,36.392222
113.003889,36.3875
113.025556,36.353056
113.0225,36.361111
113.019722,36.345278
113.016944,36.283889
113.043889,36.326389
0,0
0,0
0,0
0,0
112.994722,36.343889
113.021944,36.396944
113.019722,36.400556
113.026944,36.373333
0,0
113.018889,36.375278
0,0
0,0
113.003333,36.385
113.033611,36.335278
0,0
113.023333,36.316667
0,0
0,0
0,0
0,0
113.043056,36.333056
112.996667,36.3425
113.0075,36.285
113.035833,36.306667
113.031944,36.299722
113.016389,36.337222
113.026667,36.289167
112.995556,36.266389
112.993611,36.306667
113.013889,36.3475
113.025556,36.353056
113.021667,36.348889
113.035556,36.345833
113.035278,36.340833
113.009722,36.290833
113.0125,36.2925
113.016944,36.296667
113.016389,36.4125
112.992222,36.3575
113.031944,36.341389
113.002222,36.337778
113.027222,36.308611
113.0175,36.295556
112.991389,36.315278
113.0275,36.326944
113.0175,36.393611
113.011111,36.388889
113.001667,36.361111
113.032778,36.346111
113.032222,36.338889
113.034722,36.331667
113.027778,36.318333
113.028333,36.295
113.013333,36.344444
112.3225,37.833889
112.314722,37.803611
112.349444,37.860556
112.392222,37.85
112.333611,37.848889
112.281111,37.504167
112.289722,37.810278
112.381944,38.8725
112.370556,38.857222
112.398611,38.863333
112.3825,38.8725
112.400556,38.864722
112.388333,38.875278
112.381111,38.870833
112.378056,38.541111
112.375833,38.875
112.380833,38.873611
112.393056,38.856944
112.410278,38.851111
112.369722,38.856389
112.394167,38.856389
112.408889,38.848889
112.3875,38.874722
112.404167,38.866944
112.398333,38.863333
112.398333,38.863889
112.394167,38.856667
112.391389,38.876667
112.3775,38.863889
112.555833,38.877222
112.383056,38.845278
112.394722,38.856389
112.380278,38.869722
112.394722,38.856389
112.380833,38.871944
112.403889,38.8625
112.392222,38.869722
112.388611,38.8775
112.376111,38.874722
112.404167,38.867778
112.376389,38.863333
112.404167,38.864167
112.394167,38.856944
112.406667,38.864722
112.668611,35.654444
112.668611,35.656944
112.666389,35.654722
112.667222,35.655278
112.676111,35.660556
112.675833,35.655556
112.678056,35.655278
112.680556,35.655
112.685278,35.658056
112.683889,35.656389
112.671944,35.638056
112.668056,35.636111
112.683333,35.658611
112.6675,35.6375
112.659722,35.635278
112.658889,35.633056
112.661944,35.633611
112.700556,35.650556
112.706389,35.637778
112.699722,35.636667
112.673056,35.655556
112.684722,35.591667
112.666389,35.593611
112.680278,35.656944
112.683056,35.657778
112.684167,35.649722
112.686667,35.634167
112.6825,35.651111
112.682778,35.648056
112.683611,35.640556
112.681944,35.64
112.693889,35.626944
112.701389,35.643056
112.696944,35.652778
112.698889,35.653333
112.673056,35.635
112.668056,35.635278
112.698611,35.648889
112.676111,35.651944
112.684722,35.640833
112.684722,35.634167
112.695833,35.625556
112.698611,35.629167
112.695833,35.634722
112.708611,35.635556
112.669722,35.611111
112.721111,35.647778
112.715556,35.647778
112.668611,35.656944
112.683333,35.646111
112.683611,35.641944
112.701111,35.645
112.673889,35.635278
112.675,35.581944
112.6675,35.588056
112.710278,35.619722
112.684722,35.606389
112.674444,35.658889
0,0
112.698056,35.624444
112.696667,35.623611
112.696944,35.630556
112.698889,35.634167
112.699722,35.633333
112.700833,35.639167
112.698333,35.639167
112.671111,35.594722
112.664167,35.600556
112.663889,35.604167
112.651111,35.588056
112.658333,35.608889
112.683056,35.607222
112.660833,35.606667
112.65,35.588056
112.66,35.615556
112.661667,35.61
112.662222,35.6125
112.668889,35.610556
112.662222,35.5875
112.659444,35.588889
112.670278,35.597778
112.666389,35.593611
112.668333,35.601667
112.668889,35.603333
112.667778,35.601111
112.669444,35.648889
112.683333,35.656111
112.689167,35.660278
112.685556,35.638056
112.721111,35.646944
112.702222,35.650278
112.710833,35.651944
112.691944,35.598611
112.691944,35.926667
112.686944,35.5925
112.671111,35.600278
112.681389,35.598056
112.681667,35.600278
112.658611,35.614444
112.678333,35.5875
112.682222,35.588056
112.699722,35.641944
112.700556,35.643056
112.692778,35.638333
112.681944,35.598333
112.686944,35.593333
112.678333,35.599722
112.673889,35.5975
112.668333,35.5975
112.715833,35.451111
112.676389,35.633056
112.656944,35.612778
112.679167,35.588611
112.665556,35.586111
112.693333,35.637222
112.700833,35.613056
112.674444,35.622222
112.675556,35.636389
112.675,35.635
112.671389,35.636389
112.67,35.635833
112.661667,35.636667
112.656944,35.648056
112.671667,35.6575
112.697222,35.622222
112.668333,35.636111
112.686667,35.593056
112.685,35.594722
112.680556,35.583056
112.666667,35.5875
112.714444,35.609722
112.698611,35.641111
112.695556,35.637778
112.675278,35.637778
112.673889,35.636667
112.664722,35.638611
112.566944,35.643889
112.691944,35.598611
112.668333,35.599722
112.663889,35.599444
112.640556,35.635278
112.667222,35.654722
112.682778,35.654444
112.681667,35.638889
112.701111,35.641389
112.676111,35.631111
112.77,35.601944
112.666111,35.6025
112.658056,35.606944
112.701944,35.623611
111.772222,36.506944
111.746389,36.476111
111.761944,36.510556
111.768333,36.463333
111.764722,36.5075
111.7625,36.506111
111.765833,36.505833
111.739167,36.496111
111.765278,36.5
111.743333,36.743333
111.748056,36.466111
111.775,36.504722
111.785833,36.507222
111.748333,36.489722
111.768333,36.530833
111.755833,36.506389
111.774167,36.504167
111.777222,36.498333
111.747778,36.455833
111.781389,36.4975
111.785278,36.498333
111.766944,36.498333
111.735278,36.445
111.616389,37.097778
111.623889,37.111389
111.601389,37.100278
111.612778,37.106667
111.598611,37.120556
111.636389,37.078333
112.614444,37.096389
111.618333,37.096111
111.606389,37.083056
111.615556,37.068056
111.603611,37.044167
111.606944,37.066389
111.627778,37.066111
111.61,37.052778
111.633056,37.1025
111.6325,37.101944
111.62,37.100556
111.622778,37.109444
111.617222,37.1225
111.615556,37.049167
111.616944,37.0475
111.61,37.048889
111.618889,37.098889
111.618056,37.108333
111.615278,37.107222
111.614167,37.108611
111.624167,37.11
111.598889,37.078889
111.622222,37.111111
111.624722,37.118056
111.603333,37.121111
111.593056,37.071667
111.614167,37.068889
111.600556,37.071944
111.620833,37.060833
111.618056,37.060833
111.603889,37.059444
111.603889,37.114444
111.601667,37.101667
111.601389,37.024444
111.613333,37.075833
111.597222,37.073333
111.598056,37.059722
111.599722,37.071667
111.6225,37.071667
111.625278,37.067778
111.631944,37.101944
111.614722,37.058611
111.605,37.072778
111.635,37.078056
111.623333,37.048333
111.635,37.078056
111.636111,37.083333
111.64,37.081667
111.642778,37.082778
111.631667,37.070556
111.635278,37.065278
111.617778,37.076389
111.618611,37.109167
111.601944,37.055833
111.619444,37.028056
111.606389,37.071944
112.954444,40.022778
112.933889,40.036667
112.928333,40.036111
112.9225,40.0325
112.927778,40.0325
112.918889,40.027778
112.925278,40.031667
112.956667,40.029444
112.941389,40.041111
112.936389,40.040278
112.937222,40.029167
112.933056,40.025833
112.946389,40.033333
112.911111,39.865556
112.915278,40.026389
112.915,40.013889
112.9,40.016667
112.920833,40.011111
112.92,40.016389
112.917778,40.015
112.922222,40.014722
112.957222,40.030556
112.9275,40.010833
112.963056,40.028056
112.96,40.031389
112.936111,40.015
112.939722,40.031111
112.946389,40.030833
112.939722,40.033611
112.940278,40.015556
112.920833,40.025278
112.928889,40.029444
112.931667,40.031944
112.936667,40.034167
112.94,40.034722
112.9425,40.035278
112.932222,40.015556
112.923611,40.023611
112.926111,40.026389
112.926667,40.028611
112.926111,40.012778
112.9275,40.0175
112.948889,40.028056
112.941944,40.025278
112.944444,40.025833
112.941389,40.021389
112.943611,40.020556
112.945278,40.02
112.933889,40.023333
112.936389,40.023333
112.938056,40.023056
112.939722,40.022222
112.945278,40.018333
111.766667,37.006944
111.794167,37.014722
111.804444,37.026389
111.753333,37.007778
111.800556,37.013056
111.778889,37.015833
111.792778,37.011944
111.788611,37.008056
111.779722,37.008889
111.763611,37.014167
111.807222,37.016111
111.791389,37.020833
111.822222,37.008333
111.798611,37.01
111.777778,37.020833
111.804167,37.013333
112.804069,35.527231
112.801836,35.527369
112.815936,35.52565
 ,BD049-2_副本.jpg
112.815661,35.525639
 ,BD050-2_副本.jpg
112.785483,35.502919
 ,BD016-2_副本.jpg
112.822283,35.498558
 ,BD008-2_副本.jpg
112.792244,35.491989
 ,BD01-2_副本.jpg
112.815883,35.537656
112.817433,35.540856
112.814194,35.537872
112.815539,35.525775
 ,BD051-2_副本.jpg
112.804669,35.524422
112.815539,35.525775
 ,BD052-2_副本.jpg
112.884775,35.533806
112.861267,35.545194
112.864022,35.546581
112.864436,35.551311
112.862631,35.553511
112.818475,35.515853
112.826197,35.524008
112.860681,35.548742
112.851117,35.542975
112.851117,35.542975
112.865156,35.535375
112.828894,35.579675
112.837492,35.560317
112.860631,35.553178
112.858406,35.552033
112.831781,35.563997
112.832961,35.5225
112.853208,35.551142
112.823422,35.547456
112.825842,35.539058
112.862311,35.549464
112.819194,35.5473
112.832081,35.536622
112.83225,35.538822
112.844822,35.530089
112.8412,35.541517
112.864372,35.529919
112.860558,35.550656
112.851772,35.549878
112.849772,35.549961
112.844767,35.570678
112.837981,35.558472
112.837786,35.563283
112.832814,35.565311
112.823033,35.563147
112.830967,35.55455
 ,GD128-2_副本.jpg
112.86545,35.552594
113.057222,40.021389
112.986944,40.028889
113.041944,40.026389
113.043056,40.028611
113.066944,40.024722
112.999444,40.0425
112.991944,40.026389
113.040278,40.035833
113.0675,40.020556
113.046944,40.036667
113.047222,40.026389
113.043611,40.037222
113.040556,40.033611
113.055833,40.039167
113.042778,40.038889
113.006389,40.034444
113.055278,40.031944
113.037778,40.034167
113.039722,40.030278
113.015278,40.047778
113.018889,40.036111
113.049444,40.029722
113.071667,40.028611
113.019167,40.026389
113.052778,40.006667
113.016389,40.048056
113.014167,40.028889
113.021389,40.031944
113.052075,40.142678
113.058631,40.137156
113.054422,40.132619
113.060617,40.130611
113.070414,40.145033
113.070556,40.158275
113.104017,40.130433
113.080478,40.171475
113.058961,40.091836
113.080978,40.112494
113.101247,40.077994
113.06075,40.101219
113.062144,40.177403
113.112292,40.140428
113.108889,40.111503
112.985833,40.055278
113.021667,40.0625
113.039722,40.030278
113.040556,40.033611
113.037778,40.034167
113.021389,40.031944
113.014167,40.028889
113.015278,40.047778
112.990833,40.052778
112.999722,40.054444
112.995278,40.048333
113.023056,40.060278
113.038056,40.060833
113.057222,40.031667
113.040278,40.035833
113.042778,40.038889
113.057222,40.031667
113.049444,40.029722
113.057778,40.028611
113.047222,40.026389
112.984444,40.050833
112.990556,40.050278
113.026111,40.061111
113.052778,40.023333
113.057222,40.021389
113.0675,40.020556
113.019167,40.026389
113.016667,40.049722
113.030556,40.048056
113.018889,40.036111
113.029444,40.03
113.006389,40.034444
113.059722,40.038056
113.030556,40.044444
111.749167,36.646944
111.793056,36.661389
111.7875,36.660833
111.789167,36.663889
111.786944,36.665
111.779722,36.648611
111.758056,36.6625
111.746944,36.651667
111.739444,36.66
111.753611,36.643333
111.738056,36.636111
111.737222,36.654167
111.769167,36.6575
111.770833,36.663056
111.770833,36.643889
111.759167,36.66
111.771667,36.654722
111.775278,36.674444
111.761111,36.67
111.782778,36.653889
111.791667,36.685
111.750278,36.645556
111.780556,36.652222
111.777222,36.6525
111.752222,36.652222
111.755833,36.646111
111.783611,36.666111
111.735833,36.657778
111.7825,36.680833
111.781111,36.66
111.763056,36.635
111.760278,36.633889
111.773056,36.6375
111.764444,36.656944
111.779722,36.641667
111.758611,36.656111
111.759167,36.665556
112.764722,35.442222
112.764722,35.444167
112.7575,35.454167
112.746944,35.430833
112.750833,35.421111
112.754167,35.423333
112.763889,35.4225
112.766111,35.422778
112.766389,35.423611
112.756111,35.450278
112.756111,35.450556
112.76,35.450833
112.776389,35.4125
112.775556,35.412778
112.773056,35.416389
112.750278,35.417222
112.751389,35.420833
112.760833,35.426111
112.766944,35.422222
112.754444,35.435833
112.759167,35.442778
112.763611,35.445
112.763611,35.445
112.757778,35.447778
112.764167,35.428889
112.761111,35.417222
112.772222,35.417778
112.743611,35.425
112.739167,35.421944
112.746667,35.419722
112.747778,35.419722
112.749444,35.42
112.743611,35.425556
112.762222,35.415278
112.769167,35.412778
112.7625,35.452778
112.759167,35.451944
112.743333,35.425278
112.741111,35.423056
112.740278,35.422778
113.516236,37.918878
113.464117,37.967817
113.492394,37.92405
113.453525,37.944861
113.463961,37.948658
113.503778,37.921689
113.491583,37.927036
113.509475,37.945686
113.512864,37.945886
113.484083,37.957417
113.500611,37.927194
113.5012,37.929958
113.512706,37.950056
113.507739,37.933881
113.504167,37.941944
113.475833,37.929222
113.440444,37.977806
113.429639,37.945472
113.413444,37.967417
113.487917,37.939
113.491444,37.94575
113.490639,37.943278
113.431197,37.978783
113.503139,37.919833
113.414397,37.956694
113.491292,37.940178
113.480722,37.949306
113.485911,37.945719
113.418058,37.929694
113.468878,37.968133
113.516364,37.915917
113.476019,37.931906
113.482125,37.920275
113.500981,37.924778
113.425767,37.980992
113.477928,37.933772
113.473872,37.936222
113.4839,37.926258
113.487244,37.948892
113.499639,37.929639
113.495508,37.966469
113.504944,37.912097
113.07,40.026667
113.030556,40.044444
113.030556,40.048056
113.058056,40.030556
113.108889,40.025556
113.114444,40.017222
113.076667,113.029444
113.079722,40.046389
113.067778,40.031389
113.038056,40.050278
113.059722,40.038056
113.074167,40.029722
112.924167,35.95
112.928611,35.973889
112.916667,35.969167
112.928333,35.966667
112.930556,35.985278
112.938056,35.978056
112.931389,35.974722
112.928889,35.974167
112.908889,35.941111
112.919722,35.979444
112.931944,35.978889
111.782222,36.914167
111.806667,36.929722
111.821389,36.934444
111.795833,36.923611
111.776667,36.902778
111.778611,36.916111
111.803056,36.935
111.791111,36.924167
111.820833,36.946111
111.830556,36.945
111.793056,36.926667
111.821944,36.939167
111.838611,36.945
112.440278,38.899722
112.434444,38.891111
112.435556,38.89
112.429722,38.886667
112.423056,38.883333
112.421667,38.877778
112.425,38.875833
112.427778,38.883333
112.423333,38.874722
112.421111,38.874444
112.419722,38.878056
112.417778,38.882778
112.415556,38.876389
112.416944,38.876389
112.415,38.873889
112.411944,38.870556
112.411944,38.875278
112.410278,38.875556
112.410278,38.874722
112.409444,38.875833
112.410833,38.870278
112.408056,38.868333
112.405,38.871667
112.406944,38.870556
112.420278,38.875
112.416944,38.875556
112.4025,38.884444
112.41,38.873333
112.413611,38.896389
112.436944,38.890556
112.4375,38.893889
112.416389,38.877778
112.417222,38.880833
112.418889,38.874167
112.413611,38.871944
112.411944,38.871111
112.41,38.873333
112.424722,38.879722
112.412222,38.869444
112.413056,38.866944
112.404167,38.872222
112.396389,38.881111
112.396111,38.878611
112.401944,38.883611
112.428611,38.879444
112.442222,38.898611
112.389167,38.893333
112.408333,38.866111
112.410556,38.865833
112.400556,38.879722
112.884558,35.550033
112.880419,35.57505
112.912872,35.570422
112.902319,35.565542
112.881558,35.570175
112.886089,35.578553
112.885544,35.6041
112.909969,35.577217
112.887933,35.569669
112.884094,35.5751
112.880956,35.569978
112.892436,35.598531
112.902314,35.602633
112.905608,35.575122
112.915519,35.562858
112.905747,35.578244
112.890389,35.600375
,
 ,WD149-2_副本.jpg
112.873217,35.543369
112.907367,35.560111
112.891156,35.600308
112.908706,35.564081
112.880981,35.572175
112.912125,35.562664
112.8833,35.571072
112.891914,35.59705
112.885958,35.567547
112.892906,35.607078
112.891111,35.572056
112.884467,35.608728
112.884747,35.566533
112.892803,35.603636
 , 
112.889764,35.572644
112.885036,35.577122
112.869014,35.547214
112.883044,35.567128
112.909317,35.546694
112.891444,35.603603
112.904336,35.557728
112.881572,35.578669
112.882872,35.568208
112.883333,35.5696
112.895536,35.594903
112.886608,35.569936
112.886303,35.5669
112.879183,35.588169
112.883944,35.573642
112.890978,35.602089
